
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 185, Time: 1.12219, Systemstep: 0.00123047

Begin Step 186, Time: 1.12342, Systemstep: 0.00123047

Begin Step 187, Time: 1.12465, Systemstep: 0.00123047

Begin Step 188, Time: 1.12588, Systemstep: 0.00123047

Begin Step 189, Time: 1.12649, Systemstep: 0.000615234

Begin Step 190, Time: 1.12711, Systemstep: 0.000615234

Begin Step 191, Time: 1.12772, Systemstep: 0.000615234

Begin Step 192, Time: 1.12834, Systemstep: 0.000615234

Begin Step 193, Time: 1.12896, Systemstep: 0.000615234

Begin Step 194, Time: 1.12957, Systemstep: 0.000615234

Begin Step 195, Time: 1.13019, Systemstep: 0.000615234

Begin Step 196, Time: 1.1308, Systemstep: 0.000615234

Begin Step 197, Time: 1.13142, Systemstep: 0.000615234

Begin Step 198, Time: 1.13203, Systemstep: 0.000615234

Begin Step 199, Time: 1.13265, Systemstep: 0.000615234

Begin Step 200, Time: 1.13326, Systemstep: 0.000615234

Begin Step 201, Time: 1.13388, Systemstep: 0.000615234

Begin Step 202, Time: 1.13449, Systemstep: 0.000615234

Begin Step 203, Time: 1.13511, Systemstep: 0.000615234

Begin Step 204, Time: 1.13572, Systemstep: 0.000615234

Begin Step 205, Time: 1.13634, Systemstep: 0.000615234

Begin Step 206, Time: 1.13695, Systemstep: 0.000615234

Begin Step 207, Time: 1.13757, Systemstep: 0.000615234

Begin Step 208, Time: 1.13818, Systemstep: 0.000615234

Begin Step 209, Time: 1.1388, Systemstep: 0.000615234

Begin Step 210, Time: 1.13941, Systemstep: 0.000615234

Begin Step 211, Time: 1.14003, Systemstep: 0.000615234

Begin Step 212, Time: 1.14064, Systemstep: 0.000615234

Begin Step 213, Time: 1.14126, Systemstep: 0.000615234

Begin Step 214, Time: 1.14187, Systemstep: 0.000615234

Begin Step 215, Time: 1.14249, Systemstep: 0.000615234

Begin Step 216, Time: 1.14311, Systemstep: 0.000615234

Begin Step 217, Time: 1.14372, Systemstep: 0.000615234

Begin Step 218, Time: 1.14434, Systemstep: 0.000615234

Begin Step 219, Time: 1.14495, Systemstep: 0.000615234

Begin Step 220, Time: 1.14557, Systemstep: 0.000615234

Begin Step 221, Time: 1.14618, Systemstep: 0.000615234

Begin Step 222, Time: 1.1468, Systemstep: 0.000615234

Begin Step 223, Time: 1.14741, Systemstep: 0.000615234

Begin Step 224, Time: 1.14803, Systemstep: 0.000615234

Begin Step 225, Time: 1.14864, Systemstep: 0.000615234

